"","time","mag","x","y","YR","MO","DAY","HR","MN","SEC"
"310",1164.36289001852,3.4958489,14.070333,40.846,1984,3,9,18,11,29.93
"311",1169.06554148148,3.342955,14.113667,40.868,1984,3,14,11,3,18.24
"312",1176.29587812963,3.3,14.2,40.8475,1984,3,21,16,34,59.77
"313",1176.6162957963,3.6976998,9.889,44.2765,1984,3,22,0,16,23.92
"314",1181.64797503704,3.6485,14.178667,38.477833,1984,3,27,1,2,0.34
"315",1186.69166816667,3,14.163667,40.8355,1984,4,1,2,4,55.3
"316",1189.21251407407,3.1,14.156667,40.826333,1984,4,3,14,34,56.75
"317",1203.29167016667,3.1969,17.153,39.4125,1984,4,17,16,28,55.09
"318",1208.3300045,3.4689738,10.320167,43.600333,1984,4,22,17,24,7.34
"319",1208.3405842037,4.608,10.229167,43.558667,1984,4,22,17,39,21
"320",1208.3709902963,3.7300523,10.257,43.501667,1984,4,22,18,23,8.95
"321",1208.42831768519,4.0252603,10.381333,43.568,1984,4,22,19,45,41.7
"322",1208.7958997037,3.6485,14.4015,37.982167,1984,4,23,4,35,0.99
"323",1209.22968542593,3.4806563,10.414167,43.579667,1984,4,23,14,59,39.04
"324",1214.815323,5.6175593,12.585333,43.204,1984,4,29,5,2,58.95
"325",1214.81971057407,3.8526393,12.609333,43.2615,1984,4,29,5,9,17.42
"326",1214.82111203704,3.25,12.828333,43.396333,1984,4,29,5,11,18.37
"327",1214.82273340741,3.1456954,12.4515,43.294833,1984,4,29,5,13,38.73
"328",1214.82760709259,3.1537311,12.596833,43.258833,1984,4,29,5,20,39.75
"329",1214.83242290741,3.6585727,12.437167,43.135,1984,4,29,5,27,35.6
"330",1214.83628964815,3.9175337,12.074667,43.12,1984,4,29,5,33,9.99
"331",1214.84582768519,3.1908447,12.517167,43.2285,1984,4,29,5,46,53.66
"332",1214.84773840741,4.0230301,12.422,43.126,1984,4,29,5,49,38.6
"333",1214.87677875926,3.6374431,12.5295,43.375167,1984,4,29,6,31,27.52
"334",1214.87738161111,3.2,12.5755,43.253,1984,4,29,6,32,19.36
"335",1214.89568122222,3.4725274,12.621,43.2465,1984,4,29,6,58,40.3
"336",1214.93271925926,3.1591882,12.613333,43.2245,1984,4,29,7,52,0.43
"337",1214.95130822222,3.2571529,12.701833,43.217167,1984,4,29,8,18,46.26
"338",1214.97152912963,3.5951053,12.564667,43.264333,1984,4,29,8,47,53.94
"339",1215.06943522222,3.0900405,12.563833,43.275333,1984,4,29,11,8,52.98
"340",1215.1200265,3.6303582,12.5235,43.3035,1984,4,29,12,21,43.75
"341",1215.23156685185,3.505682,12.499167,43.223333,1984,4,29,15,2,20.51
"342",1215.47894053704,3.2852486,12.617167,43.272833,1984,4,29,20,58,33.14
"343",1215.48291144444,3.505682,12.655,43.212333,1984,4,29,21,4,16.14
"344",1215.58898883333,3.1800235,12.5485,43.274667,1984,4,29,23,37,1.86
"345",1216.0432027963,3.0499913,12.658667,43.192167,1984,4,30,10,31,5.3
"346",1216.48336583333,4.2313991,12.510333,43.272,1984,4,30,21,4,55.3
"347",1216.54930433333,4.3127491,12.565667,43.239333,1984,4,30,22,39,52.48
"348",1216.78942107407,3.1328493,12.640333,43.211833,1984,5,1,4,25,38.87
"349",1217.531598,3.7367361,10.296667,43.551167,1984,5,1,22,14,22.56
"350",1217.56701566667,3.2629498,10.229167,43.631833,1984,5,1,23,5,22.75
